biosample_id original_sample_name
29458 ST1_2573_1_BM
29459 ST1_2597_1_BM
29460 ST1_2608_1_BM
29461 ST1_2223_1_BM
29462 ST1_2568_1_BM
29463 ST1_1833_1_BM
29464 ST1_2196_1_BM
29465 ST1_2054_1_BM
29466 ST1_2062_1_BM
29467 ST1_2181_1_BM
29468 ST1_2222_1_BM
29469 ST1_2286_1_BM
29470 ST1_2507_1_BM
29471 ST1_2126_1_BM
29472 ST1_2126_2_BM
29473 ST1_2339_1_BM
29474 ST1_2114_1_BM
29475 ST1_2150_1_BM
29476 ST1_1642_1_BM
29477 ST1_1682_1_BM
29478 ST1_1682_2_BM
29479 ST1_1705_1_BM
29480 ST1_1862_1_BM
29481 ST1_2024_1_BM
29482 ST1_2039_1_BM
29483 ST1_2039_2_BM
29484 ST1_2515_1_BM
29485 ST1_2543_1_BM
29486 ST1_1908_1_BM
29487 ST1_1908_3_BM
29488 ST1_2013_1_BM
29489 ST1_2185_1_BM
29490 ST1_1790_1_BM
29491 ST1_1790_2_BM
29492 ST1_1790_3_BM
29493 ST1_1790_4_BM
29494 ST1_2225_1_BM
29495 ST1_2307_1_BM
29496 ST1_2465_1_BM
29497 ST1_2567_1_BM
29498 ST1_1727_1_BM
29499 ST1_1916_1_BM
29500 ST1_1971_1_BM
29501 ST1_2017_1_BM
29502 ST1_2017_2_BM
29503 ST1_2068_1_BM
29504 ST1_2089_1_BM
29505 ST1_2089_2_BM
29506 ST1_2089_3_BM
29507 ST1_2102_1_BM
29508 ST1_2102_2_BM
29509 ST1_2335_1_BM
29510 ST1_2468_1_BM
29511 ST1_1654_1_BM
29512 ST1_1678_1_BM
29513 ST1_1738_1_BM
29514 ST1_2224_1_BM
29515 ST1_2368_1_BM
29516 ST1_2050_1_BM
29517 ST1_2197_1_BM
29518 ST1_2200_1_BM
29519 ST1_2273_1_BM
29520 ST1_2336_1_BM
29521 ST1_2365_1_BM
29522 ST1_2519_1_BM
29523 ST1_2602_1_BM
29524 ST1_2606_1_BM
29525 ST1_2606_2_BM
29526 ST1_1716_1_BM
29527 ST1_1931_1_BM
29528 ST1_1931_2_BM
29529 ST1_2194_1_BM
29530 ST1_2194_2_BM
29531 ST1_2245_1_BM
29532 ST1_2257_1_BM
29533 ST1_2526_1_BM
29534 ST1_1913_2_BM
29535 ST1_1913_3_BM
29536 ST1_1978_1_BM
29537 ST1_1978_2_BM
29538 ST1_2384_1_BM
29539 ST1_2413_1_BM
29540 ST1_2580_1_BM
29541 ST1_1861_1_BM
29542 ST1_1861_2_BM
29543 ST1_1995_1_BM
29544 ST1_1995_2_BM
29545 ST1_2011_2_BM
29546 ST1_2085_2_BM
29547 ST1_2085_3_BM
29548 ST1_2229_1_BM
29549 ST1_2328_1_BM
29550 ST1_2328_2_BM
29551 ST1_2328_3_BM
29552 ST1_2401_1_BM
29553 ST1_2401_2_BM
29554 ST1_2427_1_BM
29555 ST1_2488_1_BM
29556 ST1_2490_1_BM
29557 ST1_2490_2_BM
29558 ST1_2518_1_BM
29559 ST1_2293_1_BM
29560 ST1_2300_1_BM
29561 ST1_2313_1_BM
29562 ST1_2313_2_BM
29563 ST1_2314_1_BM
29564 ST1_2327_1_BM
29565 ST1_2364_1_BM
29566 ST1_2452_1_BM
29567 ST1_2535_1_BM
29568 ST1_2535_2_BM
29569 ST1_2572_1_BM
29570 ST1_2572_2_BM
29571 ST1_2601_1_BM
29572 ST1_2601_2_BM
29573 ST1_2613_1_BM
29574 ST1_2613_2_BM
29575 ST1_2016_1_BM
29576 ST1_2268_1_BM
29577 ST1_2305_1_BM
29578 ST1_2444_1_BM
29579 ST1_2195_1_BM
29580 ST1_2195_2_BM
29581 ST1_2317_1_BM
29582 ST1_2426_1_BM
29583 ST1_2583_1_BM
29584 ST1_2584_1_BM
29585 ST1_2604_1_BM
29586 ST1_2609_1_BM
29587 ST1_2624_1_BM
29588 ST1_2628_1_BM
29589 ST1_2630_1_BM
29590 ST1_2631_1_BM
29591 ST1_2634_1_BM
29592 ST1_2635_1_BM
29593 ST1_2636_1_BM
29594 ST1_2637_1_BM
29595 ST1_2638_1_BM
